Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
5.17,65.13,4.28,1.7,0.3,21.86,1.9,92.79,2.31,1.21,50.38,24.71,6.46,13.02,25.94,27.67,1300,0.31,0.33,0.34
,,,,,,,,,,,,,,,,,,,
5.11,64.8,4.23,1.74,0.5,21.71,2.24,93.01,2.32,1.21,49.26,25.12,6.38,12.87,25.64,27.62,1250,0.36,0.35,0.35
,,,,,,,,,,,,,,,,,,,
5.07,65.27,4.19,1.76,0.33,21.69,1.68,93.86,2.34,1.21,53.94,21.54,6.35,12.75,25.44,27.26,1280,0.31,0.34,0.34
5.01,64.95,4.04,1.76,0.36,21.94,1.4,92.69,2.42,1.24,52.49,23.35,6.44,12.29,25.18,26.79,1300,0.32,0.34,0.34
,,,,,,,,,,,,,,,,,,,
4.97,65.15,3.89,1.74,0.42,21.86,1.82,93.47,2.47,1.28,52.69,22.97,6.59,11.84,25.01,26.38,1290,0.34,0.35,0.33
,,,,,,,,,,,,,,,,,,,
5.05,65.89,3.91,1.73,0.38,21.57,2.24,95.5,2.41,1.29,55.63,19.92,6.77,11.9,25.43,26.61,1290,0.31,0.34,0.33
,,,,,,,,,,,,,,,,,,,
5.09,66.27,3.99,1.7,0.36,20.95,2.88,98.38,2.31,1.28,58.9,15.68,6.74,12.14,25.62,26.85,1300,0.33,0.33,0.33
,,,,,,,,,,,,,,,,,,,
5.05,65.94,3.95,1.72,0.25,21.54,2.4,95.65,2.39,1.28,55.35,20.04,6.7,12.02,25.42,26.56,1300,0.3,0.32,0.33
,,,,,,,,,,,,,,,,,,,
5.03,65.47,3.9,1.74,0.36,21.82,2.02,93.98,2.44,1.29,53.06,22.57,6.73,11.87,25.33,26.52,1280,0.33,0.35,0.33
,,,,,,,,,,,,,,,,,,,
5.02,64.86,3.74,1.77,0.53,22.25,1.9,91.67,2.54,1.34,48.09,27.55,6.97,11.38,25.33,26.34,1260,0.36,0.36,0.33
,,,,,,,,,,,,,,,,,,,
5.06,65.43,3.68,1.82,0.2,21.66,2.99,94.67,2.48,1.38,50.28,24.21,7.18,11.2,25.56,26.04,1200,0.31,0.36,0.32
,,,,,,,,,,,,,,,,,,,
5.32,64.89,3.76,1.84,0.37,22.16,1.54,91.55,2.44,1.41,48.32,27.12,7.74,11.44,26.91,27.18,1150,0.32,0.37,0.34
,,,,,,,,,,,,,,,,,,,
5.02,65.4,3.68,1.8,0.33,21.78,2.49,94.24,2.5,1.36,51.55,23.6,7.08,11.2,25.35,26.04,1200,0.32,0.33,0.33
,,,,,,,,,,,,,,,,,,,
5.13,65.17,3.71,1.83,0.24,22.04,1.59,92.73,2.49,1.38,51.52,24.37,7.32,11.29,25.92,26.37,1210,0.32,0.33,0.33
,,,,,,,,,,,,,,,,,,,
4.95,65.8,3.63,1.8,0.18,22.35,1.79,92.83,2.6,1.36,52.24,24.71,6.98,11.05,25,25.57,1210,0.27,0.3,0.33
5.07,65.66,3.61,1.77,0.37,21.8,2.24,94.51,2.51,1.4,53.24,22.38,7.33,10.99,25.64,26.04,1200,0.32,0.33,0.32
,,,,,,,,,,,,,,,,,,,
5.11,65.76,3.75,1.79,0.3,21.68,2.21,94.93,2.45,1.36,54.21,21.3,7.2,11.41,25.8,26.41,1200,0.29,0.33,0.33
,,,,,,,,,,,,,,,,,,,
5.13,65.32,3.75,1.79,0.39,22.62,1.96,90.81,2.55,1.37,46.16,30.07,7.25,11.41,25.91,26.56,1220,0.29,0.35,0.34
,,,,,,,,,,,,,,,,,,,
5.09,65.06,3.71,1.79,0.31,22.36,1.62,91.47,2.54,1.37,48.78,27.35,7.21,11.29,25.71,26.28,1240,0.33,0.34,0.34
,,,,,,,,,,,,,,,,,,,
5.08,64.99,3.67,1.81,0.45,22.17,1.84,92.11,2.53,1.38,49.17,26.51,7.25,11.17,25.67,26.32,1200,0.39,0.36,0.33
,,,,,,,,,,,,,,,,,,,
5.12,65.26,3.67,1.81,0.16,22.33,1.4,91.85,2.54,1.4,50.58,25.91,7.36,11.17,25.88,26.15,1290,0.31,0.33,0.33
,,,,,,,,,,,,,,,,,,,
5.09,65.18,3.65,1.83,0.3,21.76,1.96,93.91,2.49,1.39,52.53,22.8,7.31,11.11,25.73,26.18,1240,0.31,0.33,0.32
,,,,,,,,,,,,,,,,,,,
5.09,65.27,3.67,1.82,0.36,21.35,2.8,95.6,2.44,1.39,52.57,21.59,7.28,11.17,25.73,26.27,1220,0.33,0.34,0.33
,,,,,,,,,,,,,,,,,,,
5.03,65.42,3.67,1.84,0.4,21.22,3.22,96.44,2.44,1.37,52.86,21,7.12,11.17,25.41,26.15,1210,0.33,0.33,0.32
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.92,65.81,3.59,1.82,0.57,21.54,2.99,96,2.53,1.37,53.81,21.21,6.96,10.92,24.85,25.8,1200,0.3,0.35,0.32
5.24,65.86,3.68,1.86,0.27,21.65,3.19,95.04,2.43,1.42,50.08,24.33,7.66,11.2,26.52,26.68,1230,0.23,0.32,0.33
,,,,,,,,,,,,,,,,,,,
