Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
,,,,,,,,,,,,,,,,,,,
4.52,63.7,3.96,1.46,0.41,22.3,1.68,90.43,2.63,1.14,46.93,28.57,5.28,12.05,22.61,24.92,1330,0.3,0.27,0.35
,,,,,,,,,,,,,,,,,,,
4.33,64.03,4.04,1.44,0.39,21.85,2.96,92.79,2.61,1.07,47.65,26.74,4.64,12.29,21.57,24.49,1220,0.34,0.28,0.34
,,,,,,,,,,,,,,,,,,,
4.67,63.89,3.96,1.48,0.48,21.38,3.02,93.9,2.48,1.18,48.24,24.95,5.68,12.05,23.4,25.45,1220,0.33,0.31,0.34
,,,,,,,,,,,,,,,,,,,
4.62,64.97,3.94,1.52,0.4,20.8,3.36,97.93,2.43,1.17,56.02,17.41,5.58,11.99,23.14,25.22,1260,0.32,0.3,0.33
,,,,,,,,,,,,,,,,,,,
4.65,64.62,3.96,1.57,0.31,21,2.04,96.51,2.44,1.17,58.22,16.33,5.62,12.05,23.29,25.31,1280,0.31,0.3,0.33
,,,,,,,,,,,,,,,,,,,
4.22,63.82,3.96,1.39,0.41,22.18,2.36,91.51,2.71,1.07,47.58,27.74,4.48,12.05,21.02,23.96,1270,0.33,0.26,0.33
,,,,,,,,,,,,,,,,,,,
4.33,63.48,3.99,1.37,0.35,22.56,2.12,89.46,2.71,1.09,43.5,31.9,4.72,12.14,21.59,24.27,1270,0.29,0.24,0.33
,,,,,,,,,,,,,,,,,,,
4.22,64.2,3.94,1.35,0.29,22.12,2.22,92.29,2.71,1.07,50.18,25.6,4.52,11.99,21.02,23.76,1230,0.3,0.24,0.33
,,,,,,,,,,,,,,,,,,,
4.21,63.45,3.97,1.34,0.35,22.48,3.36,89.9,2.75,1.06,39.77,34.48,4.44,12.08,20.96,23.84,1140,0.3,0.27,0.34
,,,,,,,,,,,,,,,,,,,
4.76,63.3,4,1.35,0.31,22.59,2.36,88.45,2.58,1.19,38.66,35.64,5.85,12.17,23.86,25.5,1340,0.28,0.26,0.36
,,,,,,,,,,,,,,,,,,,
4.39,63.57,4.19,1.33,0.43,22.24,2.56,90.47,2.59,1.05,43.82,30.74,4.54,12.75,21.84,24.93,1300,0.3,0.24,0.35
,,,,,,,,,,,,,,,,,,,
4.55,63.17,4.35,1.33,0.33,22.56,2.36,88.4,2.53,1.05,39.27,35.09,4.7,13.24,22.63,25.65,1320,0.31,0.24,0.36
,,,,,,,,,,,,,,,,,,,
4.12,63.81,4.23,1.32,0.46,22.24,2.24,91.2,2.66,0.97,47.86,27.7,3.76,12.87,20.39,24.24,1330,0.31,0.23,0.34
,,,,,,,,,,,,,,,,,,,
4.03,64.48,4.29,1.3,0.38,21.65,2.36,94.48,2.6,0.94,55.1,20.55,3.42,13.05,19.9,24.01,1300,0.33,0.24,0.34
,,,,,,,,,,,,,,,,,,,
4.14,64.43,4.43,1.31,0.34,21.77,2.56,93.64,2.54,0.93,52.23,23.06,3.48,13.48,20.43,24.61,1240,0.31,0.24,0.34
,,,,,,,,,,,,,,,,,,,
4.15,64.31,4.56,1.32,0.3,21.87,2.04,92.96,2.51,0.91,52.84,22.88,3.28,13.88,20.44,24.89,1270,0.28,0.23,0.35
,,,,,,,,,,,,,,,,,,,
4.2,63.95,4.66,1.31,0.29,21.64,2.24,93.14,2.44,0.9,51.83,22.98,3.25,14.18,20.67,25.24,1300,0.33,0.24,0.35
,,,,,,,,,,,,,,,,,,,
4.28,64.83,4.42,1.31,0.2,20.95,2.36,97.24,2.41,0.97,59.98,14.86,3.86,13.45,21.18,24.86,1290,0.28,0.24,0.34
,,,,,,,,,,,,,,,,,,,
4.48,63.5,4.72,1.31,0.26,21.86,2.24,91.17,2.38,0.95,46.36,27.74,3.89,14.36,22.13,26.17,1270,0.32,0.24,0.37
