Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
4.64,64.64,3.75,1.48,0.22,23.14,1.12,88.79,2.76,1.24,46.15,31.57,5.95,11.41,23.31,24.64,1270,0.32,0.33,0.32
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.53,65.2,3.6,1.47,0.29,23.1,1.62,89.99,2.84,1.26,47.65,30.32,5.91,10.95,22.78,24.04,1270,0.33,0.33,0.31
,,,,,,,,,,,,,,,,,,,
4.43,65.58,3.6,1.47,0.28,22.59,1.9,92.49,2.81,1.23,52.6,25.13,5.65,10.95,22.25,23.74,1250,0.33,0.33,0.3
,,,,,,,,,,,,,,,,,,,
4.38,66.53,3.65,1.5,0.28,21.89,2.66,96.53,2.73,1.2,58.96,18.32,5.43,11.11,21.97,23.73,1190,0.29,0.31,0.31
,,,,,,,,,,,,,,,,,,,
4.6,66.03,3.77,1.55,0.28,21.71,3.08,96.03,2.59,1.22,54.94,20.84,5.81,11.47,23.09,24.69,1050,0.32,0.31,0.32
,,,,,,,,,,,,,,,,,,,
4.63,65.56,3.74,1.61,0.31,22.49,1.82,92.39,2.69,1.24,52.06,25.25,5.94,11.38,23.26,24.81,1270,0.26,0.32,0.32
,,,,,,,,,,,,,,,,,,,
,,,,,,3.36,,,,,,,,,,1070,,,
,,,,,,,,,,,,,,,,,,,
4.41,66.36,3.42,1.5,0.33,21.97,2.8,96.13,2.81,1.29,57.22,19.87,5.9,10.41,22.21,23.36,1210,0.28,0.3,0.31
,,,,,,,,,,,,,,,,,,,
4.6,65.3,3.6,1.5,0.25,22.89,1.4,90.75,2.79,1.28,50.08,27.89,6.1,10.95,23.15,24.24,1250,0.28,0.31,0.32
,,,,,,,,,,,,,,,,,,,
4.61,65.53,3.56,1.52,0.32,22.78,1.6,91.48,2.79,1.29,51.02,26.86,6.19,10.83,23.22,24.27,1210,0.31,0.31,0.33
4.62,65.18,3.5,1.55,0.36,22.84,1.23,90.82,2.81,1.32,50.67,27.3,6.32,10.65,23.29,24.24,1210,0.34,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.59,65.4,3.46,1.54,0.32,22.84,1.35,91.2,2.84,1.33,51.33,26.8,6.31,10.53,23.15,24.01,1240,0.33,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.57,65.55,3.44,1.53,0.28,22.55,2.24,92.51,2.82,1.33,50.69,26.45,6.29,10.47,23.05,23.86,1210,0.36,0.32,0.31
,,,,,,,,,,,,,,,,,,,
4.61,65.38,3.35,1.53,0.29,22.56,2.82,92.24,2.83,1.38,47.42,28.95,6.55,10.19,23.29,23.79,1140,0.36,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.72,65.21,3.55,1.54,0.26,22.37,2.88,92.36,2.7,1.33,46.9,28.79,6.5,10.8,23.81,24.53,1130,0.33,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.62,65.49,3.69,1.53,0.29,22.5,2.68,92.31,2.71,1.25,48.34,28.08,6,11.23,23.23,24.57,1200,0.33,0.34,0.32
,,,,,,,,,,,,,,,,,,,
4.7,65.7,3.6,1.53,0.31,22.82,1.74,91.41,2.75,1.31,50.18,27.61,6.36,10.95,23.68,24.63,1240,0.29,0.3,0.33
,,,,,,,,,,,,,,,,,,,
4.58,64.99,3.61,1.5,0.35,22.77,1.68,90.77,2.78,1.27,48.71,28.58,6.03,10.99,23.04,24.3,1250,0.35,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.55,64.99,3.66,1.49,0.63,22.71,1.4,90.99,2.77,1.24,50.43,27.11,5.86,11.14,22.87,24.59,1280,0.35,0.36,0.32
,,,,,,,,,,,,,,,,,,,
4.63,66.65,3.66,1.48,0.3,21.73,2.8,96.9,2.62,1.27,58.4,18.29,6.08,11.14,23.29,24.49,1280,0.31,0.32,0.31
,,,,,,,,,,,,,,,,,,,
4.64,66.09,3.73,1.49,0.46,21.95,1.64,95.16,2.62,1.24,59.01,18.46,5.98,11.35,23.32,24.84,1290,0.34,0.36,0.32
,,,,,,,,,,,,,,,,,,,
